    ROW ID,SHOW ID,SHOW,Status,PRODUCTION TYPE,OPENING  DATE,CLOSING  DATE,# of  PERFORMANCES,PRODUCTION NOTES,PERSON ID,LAST NAME,FIRST NAME,Lifespan if deceased,Role,Person Start Date,Person End Date,PREFIX,WEBSITE,INTERNET BROADWAY DATABASE,LINK TO PHOTO,Photo Credit,PERSON FUN FACTS
278,S0173,Sophie,Closed,Original,4/15/1963,4/20/1963,8,,P0071,Redfield,Liza,1924-2018,Music Director,,,,,https://www.ibdb.com/broadway-cast-staff/liza-redfield-83043,https://flerlageapps.com/Women-Conductors/P0071.jpg,,"Broadway's first full time female conductor (The Music Man, replacement 1960)"
279,S0174,Spamalot,Closed,Original,3/17/2005,1/11/2009,1575,,P0100,Will,Ethyl,,Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/ethyl-will-71588,https://flerlageapps.com/Women-Conductors/P0100.jpg,,Ethyl Will has been conducting the Radio City Christmas Spectacular since 2010. She was the first (and so far the only) woman to conduct the Radio City orchestra.
280,S0175,Spider-Man: Turn Off the Dark,Closed,Original,6/14/2011,1/4/2014,1066,,P0046,Grigsby,Kimberly,,Music Director / Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/kimberly-grigsby-69861,https://flerlageapps.com/Women-Conductors/P0046.jpg,,
281,S0176,SpongeBob Square Pants,Closed,Original,12/4/2017,9/16/2018,327,,P0066,McBride,Julie,,Music Director / Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/julie-mcbride-501316,https://flerlageapps.com/Women-Conductors/P0066.jpg,,
282,S0177,Spring Awakening,Closed,Original,12/10/2006,1/18/2009,859,,P0001,Abramson,Deborah,,Associate Music Director / Associate Conductor,,,,https://www.deborahabramson.com/,https://www.ibdb.com/broadway-cast-staff/deborah-abramson-454280,https://flerlageapps.com/Women-Conductors/P0001.jpg,,
283,S0177,Spring Awakening,Closed,Original,12/10/2006,1/18/2009,859,,P0046,Grigsby,Kimberly,,Music Supervisor,,,,,https://www.ibdb.com/broadway-cast-staff/kimberly-grigsby-69861,https://flerlageapps.com/Women-Conductors/P0046.jpg,,
284,S0177,Spring Awakening,Closed,Original,12/10/2006,1/18/2009,859,,P0046,Grigsby,Kimberly,,Music Director / Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/kimberly-grigsby-69861,https://flerlageapps.com/Women-Conductors/P0046.jpg,,
285,S0177,Spring Awakening,Closed,Original,12/10/2006,1/18/2009,859,,P0068,Moore,Jodie,,Conductor,1/1/2008,,,,https://www.ibdb.com/broadway-cast-staff/jodie-moore-483753,https://flerlageapps.com/Women-Conductors/P0068.jpg,,
286,S0178,Starmites,Closed,Original,3/24/1989,6/18/1989,60,,P0002,Adams McDowell,Dianne,,Associate Music Director,,,,https://adamsandmcdowell.com/,https://www.ibdb.com/broadway-cast-staff/dianne-adams-mcdowell-495156,https://flerlageapps.com/Women-Conductors/P0002.jpg,,
287,S0179,State Fair,Closed,Original,3/27/1996,6/30/1996,110,,P0019,Cameron,Kay,,Music Director / Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/kay-cameron-76660,,,
288,S0180,Stephen Sondheim's Old Friends,Closed,Original,4/8/2025,6/29/2025,87,,P0036,duChateau,Annbritt,,Music Director,4/8/2025,6/29/2025,,https://www.annbrittduchateau.com/,https://www.ibdb.com/broadway-cast-staff/annbritt-duchateau-112939,https://flerlageapps.com/Women-Conductors/P0036.jpg,,
289,S0181,Suffs,Closed,Original,4/18/2024,1/5/2025,301,,P0047,Grody,Andrea,,Music Supervisor,,,,https://www.andreagrody.com/,https://www.ibdb.com/broadway-cast-staff/andrea-grody-515120,https://flerlageapps.com/Women-Conductors/P0047.jpg,,
290,S0181,Suffs,Closed,Original,4/18/2024,1/5/2025,301,,P0047,Grody,Andrea,,Music Director / Conductor,,,,https://www.andreagrody.com/,https://www.ibdb.com/broadway-cast-staff/andrea-grody-515120,https://flerlageapps.com/Women-Conductors/P0047.jpg,,
291,S0181,Suffs,Closed,Original,4/18/2024,1/5/2025,301,,P0091,Thompson,Alyssa Kay,,Substitute Conductor,,,,https://www.alyssakthompson.com/,https://www.ibdb.com/broadway-cast-staff/alyssa-kay-thompson-535581,https://flerlageapps.com/Women-Conductors/P0091.jpg,,
292,S0181,Suffs,Closed,Original,4/18/2024,1/5/2025,301,,P0097,Whitaker,Emily,,Associate Music Director / Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/emily-whitaker-539216,https://flerlageapps.com/Women-Conductors/P0097.jpg,,
293,S0182,Summer: The Donna Summer Musical,Closed,Original,4/23/2018,12/20/2018,288,,P0007,Barsha,Debra,,Associate Conductor,,,,https://debrabarsha.com/,https://www.ibdb.com/broadway-cast-staff/debra-barsha-490933,https://flerlageapps.com/Women-Conductors/P0007.jpg,Photo by Joe Henson,
